Date,Interval,Calls,#_day_of_week,day_of_week,Month,Year
2015-12-31 23:00:00,282,0,3,Thursday,12,2015
2016-01-01 00:00:00,6,0,4,Friday,1,2016
2016-01-01 01:00:00,22,0,4,Friday,1,2016
2016-01-01 02:00:00,38,0,4,Friday,1,2016
2016-01-01 03:00:00,54,0,4,Friday,1,2016
2016-01-01 04:00:00,70,0,4,Friday,1,2016
2016-01-01 05:00:00,86,0,4,Friday,1,2016
2016-01-01 06:00:00,102,0,4,Friday,1,2016
2016-01-01 07:00:00,118,0,4,Friday,1,2016
2016-01-01 08:00:00,134,0,4,Friday,1,2016
2016-01-01 09:00:00,150,0,4,Friday,1,2016
2016-01-01 10:00:00,166,0,4,Friday,1,2016
2016-01-01 11:00:00,182,0,4,Friday,1,2016
2016-01-01 12:00:00,198,0,4,Friday,1,2016
2016-01-01 13:00:00,214,0,4,Friday,1,2016
2016-01-01 14:00:00,230,0,4,Friday,1,2016
2016-01-01 15:00:00,246,0,4,Friday,1,2016
2016-01-01 16:00:00,262,0,4,Friday,1,2016
2016-01-01 17:00:00,278,0,4,Friday,1,2016
2016-01-01 18:00:00,294,0,4,Friday,1,2016
2016-01-01 19:00:00,310,0,4,Friday,1,2016
2016-01-01 20:00:00,326,0,4,Friday,1,2016
2016-01-01 21:00:00,342,0,4,Friday,1,2016
2016-01-01 22:00:00,358,0,4,Friday,1,2016
2016-01-01 23:00:00,374,0,4,Friday,1,2016
2016-01-02 00:00:00,6,0,5,Saturday,1,2016
2016-01-02 01:00:00,22,0,5,Saturday,1,2016
2016-01-02 02:00:00,38,0,5,Saturday,1,2016
2016-01-02 03:00:00,54,0,5,Saturday,1,2016
2016-01-02 04:00:00,70,0,5,Saturday,1,2016
2016-01-02 05:00:00,86,0,5,Saturday,1,2016
2016-01-02 06:00:00,102,0,5,Saturday,1,2016
2016-01-02 07:00:00,118,0,5,Saturday,1,2016
2016-01-02 08:00:00,134,26,5,Saturday,1,2016
2016-01-02 09:00:00,150,115,5,Saturday,1,2016
2016-01-02 10:00:00,166,84,5,Saturday,1,2016
2016-01-02 11:00:00,182,84,5,Saturday,1,2016
2016-01-02 12:00:00,198,98,5,Saturday,1,2016
2016-01-02 13:00:00,214,59,5,Saturday,1,2016
2016-01-02 14:00:00,230,50,5,Saturday,1,2016
2016-01-02 15:00:00,246,61,5,Saturday,1,2016
2016-01-02 16:00:00,262,68,5,Saturday,1,2016
2016-01-02 17:00:00,278,0,5,Saturday,1,2016
2016-01-02 18:00:00,294,0,5,Saturday,1,2016
2016-01-02 19:00:00,310,0,5,Saturday,1,2016
2016-01-02 20:00:00,326,0,5,Saturday,1,2016
2016-01-02 21:00:00,342,0,5,Saturday,1,2016
2016-01-02 22:00:00,358,0,5,Saturday,1,2016
2016-01-02 23:00:00,374,0,5,Saturday,1,2016
2016-01-03 00:00:00,6,0,6,Sunday,1,2016
2016-01-03 01:00:00,22,0,6,Sunday,1,2016
2016-01-03 02:00:00,38,0,6,Sunday,1,2016
2016-01-03 03:00:00,54,0,6,Sunday,1,2016
2016-01-03 04:00:00,70,0,6,Sunday,1,2016
2016-01-03 05:00:00,86,0,6,Sunday,1,2016
2016-01-03 06:00:00,102,0,6,Sunday,1,2016
2016-01-03 07:00:00,118,0,6,Sunday,1,2016
2016-01-03 08:00:00,134,0,6,Sunday,1,2016
2016-01-03 09:00:00,150,0,6,Sunday,1,2016
2016-01-03 10:00:00,166,0,6,Sunday,1,2016
2016-01-03 11:00:00,182,0,6,Sunday,1,2016
2016-01-03 12:00:00,198,0,6,Sunday,1,2016
2016-01-03 13:00:00,214,0,6,Sunday,1,2016
2016-01-03 14:00:00,230,0,6,Sunday,1,2016
2016-01-03 15:00:00,246,0,6,Sunday,1,2016
2016-01-03 16:00:00,262,0,6,Sunday,1,2016
2016-01-03 17:00:00,278,0,6,Sunday,1,2016
2016-01-03 18:00:00,294,0,6,Sunday,1,2016
2016-01-03 19:00:00,310,0,6,Sunday,1,2016
2016-01-03 20:00:00,326,0,6,Sunday,1,2016
2016-01-03 21:00:00,342,0,6,Sunday,1,2016
2016-01-03 22:00:00,358,0,6,Sunday,1,2016
2016-01-03 23:00:00,374,0,6,Sunday,1,2016
2016-01-04 00:00:00,6,0,0,Monday,1,2016
2016-01-04 01:00:00,22,0,0,Monday,1,2016
2016-01-04 02:00:00,38,0,0,Monday,1,2016
2016-01-04 03:00:00,54,0,0,Monday,1,2016
2016-01-04 04:00:00,70,0,0,Monday,1,2016
2016-01-04 05:00:00,86,0,0,Monday,1,2016
2016-01-04 06:00:00,102,0,0,Monday,1,2016
2016-01-04 07:00:00,118,0,0,Monday,1,2016
2016-01-04 08:00:00,134,94,0,Monday,1,2016
2016-01-04 09:00:00,150,137,0,Monday,1,2016
2016-01-04 10:00:00,166,176,0,Monday,1,2016
2016-01-04 11:00:00,182,154,0,Monday,1,2016
2016-01-04 12:00:00,198,125,0,Monday,1,2016
2016-01-04 13:00:00,214,85,0,Monday,1,2016
2016-01-04 14:00:00,230,160,0,Monday,1,2016
