Date,Interval,Calls,#_day_of_week,day_of_week,Month,Year
2017-10-09 10:00:00,82,67,0,Monday,10,2017
2017-10-09 11:00:00,90,76,0,Monday,10,2017
2017-10-09 12:00:00,98,62,0,Monday,10,2017
2017-10-09 13:00:00,106,69,0,Monday,10,2017
2017-10-09 14:00:00,114,51,0,Monday,10,2017
2017-10-09 15:00:00,122,2,0,Monday,10,2017
2017-10-09 16:00:00,130,0,0,Monday,10,2017
2017-10-09 17:00:00,138,0,0,Monday,10,2017
2017-10-09 18:00:00,146,0,0,Monday,10,2017
2017-10-09 19:00:00,154,0,0,Monday,10,2017
2017-10-09 20:00:00,162,0,0,Monday,10,2017
2017-10-09 21:00:00,170,0,0,Monday,10,2017
2017-10-09 22:00:00,178,0,0,Monday,10,2017
2017-10-09 23:00:00,186,0,0,Monday,10,2017
2017-10-10 00:00:00,2,0,1,Tuesday,10,2017
2017-10-10 01:00:00,10,0,1,Tuesday,10,2017
2017-10-10 02:00:00,18,0,1,Tuesday,10,2017
2017-10-10 03:00:00,26,0,1,Tuesday,10,2017
2017-10-10 04:00:00,34,0,1,Tuesday,10,2017
2017-10-10 05:00:00,42,0,1,Tuesday,10,2017
2017-10-10 06:00:00,50,39,1,Tuesday,10,2017
2017-10-10 07:00:00,58,60,1,Tuesday,10,2017
2017-10-10 08:00:00,66,60,1,Tuesday,10,2017
2017-10-10 09:00:00,74,62,1,Tuesday,10,2017
2017-10-10 10:00:00,82,41,1,Tuesday,10,2017
2017-10-10 11:00:00,90,51,1,Tuesday,10,2017
2017-10-10 12:00:00,98,55,1,Tuesday,10,2017
2017-10-10 13:00:00,106,54,1,Tuesday,10,2017
2017-10-10 14:00:00,114,59,1,Tuesday,10,2017
2017-10-10 15:00:00,122,2,1,Tuesday,10,2017
2017-10-10 16:00:00,130,0,1,Tuesday,10,2017
2017-10-10 17:00:00,138,0,1,Tuesday,10,2017
2017-10-10 18:00:00,146,0,1,Tuesday,10,2017
2017-10-10 19:00:00,154,0,1,Tuesday,10,2017
2017-10-10 20:00:00,162,0,1,Tuesday,10,2017
2017-10-10 21:00:00,170,0,1,Tuesday,10,2017
2017-10-10 22:00:00,178,0,1,Tuesday,10,2017
2017-10-10 23:00:00,186,0,1,Tuesday,10,2017
2017-10-11 00:00:00,2,0,2,Wednesday,10,2017
2017-10-11 01:00:00,10,0,2,Wednesday,10,2017
2017-10-11 02:00:00,18,0,2,Wednesday,10,2017
2017-10-11 03:00:00,26,0,2,Wednesday,10,2017
2017-10-11 04:00:00,34,0,2,Wednesday,10,2017
2017-10-11 05:00:00,42,0,2,Wednesday,10,2017
2017-10-11 06:00:00,50,33,2,Wednesday,10,2017
2017-10-11 07:00:00,58,51,2,Wednesday,10,2017
2017-10-11 08:00:00,66,53,2,Wednesday,10,2017
2017-10-11 09:00:00,74,55,2,Wednesday,10,2017
2017-10-11 10:00:00,82,40,2,Wednesday,10,2017
2017-10-11 11:00:00,90,51,2,Wednesday,10,2017
2017-10-11 12:00:00,98,47,2,Wednesday,10,2017
2017-10-11 13:00:00,106,50,2,Wednesday,10,2017
2017-10-11 14:00:00,114,38,2,Wednesday,10,2017
2017-10-11 15:00:00,122,1,2,Wednesday,10,2017
2017-10-11 16:00:00,130,0,2,Wednesday,10,2017
2017-10-11 17:00:00,138,0,2,Wednesday,10,2017
2017-10-11 18:00:00,146,0,2,Wednesday,10,2017
2017-10-11 19:00:00,154,0,2,Wednesday,10,2017
2017-10-11 20:00:00,162,0,2,Wednesday,10,2017
2017-10-11 21:00:00,170,0,2,Wednesday,10,2017
2017-10-11 22:00:00,178,0,2,Wednesday,10,2017
2017-10-11 23:00:00,186,0,2,Wednesday,10,2017
2017-10-12 00:00:00,2,0,3,Thursday,10,2017
2017-10-12 01:00:00,10,0,3,Thursday,10,2017
2017-10-12 02:00:00,18,0,3,Thursday,10,2017
2017-10-12 03:00:00,26,0,3,Thursday,10,2017
2017-10-12 04:00:00,34,0,3,Thursday,10,2017
2017-10-12 05:00:00,42,0,3,Thursday,10,2017
2017-10-12 06:00:00,50,30,3,Thursday,10,2017
2017-10-12 07:00:00,58,47,3,Thursday,10,2017
2017-10-12 08:00:00,66,56,3,Thursday,10,2017
2017-10-12 09:00:00,74,53,3,Thursday,10,2017
2017-10-12 10:00:00,82,45,3,Thursday,10,2017
2017-10-12 11:00:00,90,39,3,Thursday,10,2017
2017-10-12 12:00:00,98,50,3,Thursday,10,2017
2017-10-12 13:00:00,106,50,3,Thursday,10,2017
2017-10-12 14:00:00,114,46,3,Thursday,10,2017
2017-10-12 15:00:00,122,1,3,Thursday,10,2017
2017-10-12 16:00:00,130,0,3,Thursday,10,2017
2017-10-12 17:00:00,138,0,3,Thursday,10,2017
2017-10-12 18:00:00,146,0,3,Thursday,10,2017
2017-10-12 19:00:00,154,0,3,Thursday,10,2017
2017-10-12 20:00:00,162,0,3,Thursday,10,2017
2017-10-12 21:00:00,170,0,3,Thursday,10,2017
2017-10-12 22:00:00,178,0,3,Thursday,10,2017
2017-10-12 23:00:00,186,0,3,Thursday,10,2017
2017-10-13 00:00:00,2,0,4,Friday,10,2017
2017-10-13 01:00:00,10,0,4,Friday,10,2017
2017-10-13 02:00:00,18,0,4,Friday,10,2017
2017-10-13 03:00:00,26,0,4,Friday,10,2017
2017-10-13 04:00:00,34,0,4,Friday,10,2017
2017-10-13 05:00:00,42,0,4,Friday,10,2017
2017-10-13 06:00:00,50,35,4,Friday,10,2017
2017-10-13 07:00:00,58,43,4,Friday,10,2017
2017-10-13 08:00:00,66,46,4,Friday,10,2017
2017-10-13 09:00:00,74,44,4,Friday,10,2017
2017-10-13 10:00:00,82,37,4,Friday,10,2017
2017-10-13 11:00:00,90,46,4,Friday,10,2017
2017-10-13 12:00:00,98,46,4,Friday,10,2017
2017-10-13 13:00:00,106,50,4,Friday,10,2017
2017-10-13 14:00:00,114,29,4,Friday,10,2017
2017-10-13 15:00:00,122,1,4,Friday,10,2017
2017-10-13 16:00:00,130,0,4,Friday,10,2017
2017-10-13 17:00:00,138,0,4,Friday,10,2017
2017-10-13 18:00:00,146,0,4,Friday,10,2017
2017-10-13 19:00:00,154,0,4,Friday,10,2017
2017-10-13 20:00:00,162,0,4,Friday,10,2017
2017-10-13 21:00:00,170,0,4,Friday,10,2017
2017-10-13 22:00:00,178,0,4,Friday,10,2017
2017-10-13 23:00:00,186,0,4,Friday,10,2017
2017-10-14 00:00:00,2,0,5,Saturday,10,2017
2017-10-14 01:00:00,10,0,5,Saturday,10,2017
2017-10-14 02:00:00,18,0,5,Saturday,10,2017
2017-10-14 03:00:00,26,0,5,Saturday,10,2017
2017-10-14 04:00:00,34,0,5,Saturday,10,2017
2017-10-14 05:00:00,42,0,5,Saturday,10,2017
2017-10-14 06:00:00,50,0,5,Saturday,10,2017
2017-10-14 07:00:00,58,0,5,Saturday,10,2017
2017-10-14 08:00:00,66,0,5,Saturday,10,2017
2017-10-14 09:00:00,74,0,5,Saturday,10,2017
2017-10-14 10:00:00,82,0,5,Saturday,10,2017
2017-10-14 11:00:00,90,0,5,Saturday,10,2017
2017-10-14 12:00:00,98,0,5,Saturday,10,2017
2017-10-14 13:00:00,106,0,5,Saturday,10,2017
2017-10-14 14:00:00,114,0,5,Saturday,10,2017
2017-10-14 15:00:00,122,0,5,Saturday,10,2017
2017-10-14 16:00:00,130,0,5,Saturday,10,2017
2017-10-14 17:00:00,138,0,5,Saturday,10,2017
2017-10-14 18:00:00,146,0,5,Saturday,10,2017
2017-10-14 19:00:00,154,0,5,Saturday,10,2017
2017-10-14 20:00:00,162,0,5,Saturday,10,2017
2017-10-14 21:00:00,170,0,5,Saturday,10,2017
2017-10-14 22:00:00,178,0,5,Saturday,10,2017
2017-10-14 23:00:00,186,0,5,Saturday,10,2017
2017-10-15 00:00:00,2,0,6,Sunday,10,2017
2017-10-15 01:00:00,10,0,6,Sunday,10,2017
